Time	ItemId	UserId	SessionId
1440703563.798	126569	282	1346
1440703566.864	140428	282	1346
1440703569.211	121295	282	1346
1440703569.859	122961	282	1346
1440703571.252	122022	282	1346
1440442555.142	140272	621	2743
1440443501.168	8966	621	2743
1440025323.923	10593	635	2975
1440025396.737	10593	635	2975
1440026161.732	6346	635	2975
1440100161.46	52692	635	2977
1440100250.833	18138	635	2977
1440100277.214	52692	635	2977
1440100281.768	18138	635	2977
1440101176.128	1655	635	2977
1440101557.54	1655	635	2977
1440101641.407	18138	635	2977
1440101645.993	52692	635	2977
1440101680.659	19892	635	2977
1440101732.568	52692	635	2977
1440101791.06	52692	635	2977
1440101792.505	19892	635	2977
1440102277.377	19892	635	2977
1440021263.326	121311	752	3734
1440021295.448	121649	752	3734
1440021398.579	126620	752	3734
1440021420.35	121603	752	3734
1440445901.704	150390	752	3735
1440445989.423	150390	752	3735
1440446006.285	151228	752	3735
1440446166.293	150626	752	3735
1440446520.342	150626	752	3735
1440446583.214	150626	752	3735
1440446597.721	150626	752	3735
1440446923.278	151264	752	3735
1440447007.415	150332	752	3735
1440447685.285	150390	752	3735
1440471291.248	150390	752	3738
1440472332.125	150390	752	3738
1440472702.171	150390	752	3738
1440472790.231	151264	752	3738
1440472916.414	151264	752	3738
1440472959.268	150390	752	3738
1440530579.45	84097	752	3739
1440530684.91	118212	752	3739
1440531055.339	121355	752	3739
1440531968.284	120487	752	3739
1440549378.839	156533	752	3741
1440549506.659	157053	752	3741
1440549520.79	157053	752	3741
1440549558.168	156562	752	3741
1440552916.523	121649	752	3742
1440553198.364	121649	752	3742
1440553232.77	121311	752	3742
1440559147.855	119724	752	3743
1440559158.926	119724	752	3743
1440559512.984	126620	752	3743
1440559533.677	121311	752	3743
1440559541.63	121649	752	3743
1440559565.899	122283	752	3743
1440559606.452	121603	752	3743
1440617885.158	2357	752	3744
1440618107.239	2120	752	3744
1440618134.177	131600	752	3744
1440621791.218	119724	752	3745
1440623036.38	126620	752	3745
1440623076.194	121603	752	3745
1440623087.283	121311	752	3745
1440633461.788	119724	752	3746
1440633526.334	119724	752	3746
1440633565.813	118836	752	3746
1440639299.933	1180	752	3747
1440640709.909	126569	752	3747
1440640769.508	121665	752	3747
1440640964.736	140428	752	3747
1440641068.292	119724	752	3747
1440641094.977	122961	752	3747
1440641181.999	121295	752	3747
1440641225.759	121571	752	3747
1440641257.876	122022	752	3747
1440643614.551	118660	752	3747
1440643619.845	118660	752	3747
1440643623.478	121665	752	3747
1440643656.957	126569	752	3747
1440643779.288	122961	752	3747
1440643794.058	122961	752	3747
1440643802.218	119724	752	3747
1440644163.443	126569	752	3747
1440644171.69	126569	752	3747
1440644180.798	140428	752	3747
1440644191.948	140428	752	3747
1440644202.644	121295	752	3747
1440644211.627	122961	752	3747
1440644220.647	122961	752	3747
1440644232.884	122022	752	3747
1440644255.202	122022	752	3747
1440644471.177	121665	752	3747
1440644577.429	121571	752	3747
1440644680.099	122022	752	3747
1440644786.911	126569	752	3747
1440644805.475	121665	752	3747
1440644809.814	140428	752	3747
1440644812.592	119724	752	3747
1440644816.071	121295	752	3747
1440644820.067	121571	752	3747
1440644822.491	122961	752	3747
1440644829.443	119724	752	3747
1440644832.183	122022	752	3747
1440644837.993	121571	752	3747
1440644922.467	121571	752	3747
1440644922.937	122022	752	3747
1440723488.568	31912	752	3753
1440723614.835	156533	752	3753
1440723740.274	26005	752	3753
1440728015.267	118931	752	3754
1440730319.946	25108	752	3754
1440731248.2	118931	752	3754
1440731455.228	118931	752	3754
1440732416.226	118212	752	3754
1440732453.356	51363	752	3754
1440732526.617	51363	752	3754
1440732530.295	51363	752	3754
1440788582.201	51363	752	3755
1440788585.224	51363	752	3755
1440789603.848	92872	752	3755
1440808698.886	97432	752	3757
1440808709.014	97432	752	3757
1440808935.679	97432	752	3757
1440808944.971	92872	752	3757
