SessionId	Time	ItemId	UserId
59	1541720195.0	3803	36
59	1541720200.0	3803	36
59	1541720698.0	22237	36
59	1541720732.0	15820	36
59	1541720742.0	15820	36
59	1541720751.0	32310	36
59	1541720767.0	32310	36
59	1541720769.0	32310	36
59	1541720900.0	3802	36
59	1541720905.0	3802	36
59	1541721066.0	42737	36
182	1541613958.0	271	119
182	1541613975.0	271	119
255	1541636866.0	346	154
255	1541637108.0	346	154
255	1541637249.0	14631	154
255	1541637260.0	14631	154
255	1541637262.0	14631	154
255	1541637272.0	14631	154
255	1541637282.0	14631	154
255	1541637292.0	14631	154
255	1541637349.0	14631	154
255	1541637802.0	346	154
255	1541637814.0	346	154
567	1541631666.0	41146	350
567	1541631676.0	41146	350
567	1541631686.0	41146	350
567	1541631696.0	41146	350
567	1541631725.0	122951	350
567	1541631735.0	122951	350
567	1541631745.0	122951	350
567	1541632021.0	8516	350
568	1541683254.0	69808	350
568	1541683264.0	69808	350
568	1541683274.0	69808	350
568	1541683284.0	340542	350
568	1541683294.0	340542	350
568	1541683304.0	340542	350
641	1541681249.0	1229	386
641	1541681256.0	1229	386
641	1541681258.0	1229	386
641	1541681331.0	26118	386
641	1541681342.0	26118	386
641	1541681432.0	4405	386
641	1541681436.0	4405	386
655	1541620557.0	5706	392
655	1541620558.0	5706	392
1651	1541632244.0	22333	1047
1651	1541632256.0	22333	1047
1652	1541634994.0	42765	1047
1652	1541635141.0	22053	1047
1652	1541635311.0	5221	1047
1652	1541635315.0	5221	1047
1652	1541635558.0	5221	1047
1652	1541635641.0	5221	1047
1652	1541635796.0	5221	1047
2145	1541593503.0	392262	1359
2145	1541593507.0	392262	1359
2145	1541593509.0	392262	1359
2145	1541593713.0	392262	1359
2146	1541597122.0	365822	1359
2146	1541597247.0	365822	1359
2146	1541597383.0	365822	1359
2146	1541597481.0	155263	1359
2146	1541597517.0	155263	1359
2146	1541597527.0	155263	1359
2146	1541597597.0	155263	1359
2147	1541613435.0	77419	1359
