SessionId	Time	ItemId	UserId
178	1541269671.0	271	119
178	1541269692.0	271	119
213	1541261186.0	20707	134
213	1541261194.0	20707	134
213	1541261395.0	13533	134
214	1541264079.0	53529	134
214	1541264089.0	53529	134
214	1541264110.0	53529	134
214	1541264111.0	53529	134
214	1541264472.0	18370	134
215	1541340009.0	2457	134
215	1541340160.0	35945	134
215	1541340161.0	35945	134
259	1541346759.0	23873	155
259	1541346770.0	23873	155
259	1541346780.0	23873	155
259	1541346790.0	23873	155
259	1541346800.0	23873	155
259	1541346810.0	23873	155
259	1541346820.0	23873	155
259	1541346830.0	23873	155
259	1541346840.0	23873	155
259	1541346877.0	23873	155
360	1541274480.0	509	221
360	1541274485.0	509	221
388	1541271183.0	550	236
388	1541271184.0	550	236
388	1541271215.0	550	236
413	1541274843.0	166900	254
413	1541275133.0	20221	254
413	1541275135.0	20221	254
413	1541275194.0	20221	254
413	1541276026.0	78199	254
598	1541216686.0	6415	366
598	1541216699.0	6415	366
598	1541216709.0	6415	366
599	1541222021.0	12764	366
599	1541222023.0	6415	366
1053	1541362954.0	139484	653
1053	1541362957.0	139484	653
1053	1541362967.0	139484	653
1053	1541362977.0	139484	653
1053	1541362987.0	139484	653
1053	1541362997.0	139484	653
1053	1541363003.0	139484	653
1087	1541345512.0	1510	676
1087	1541346522.0	82743	676
1226	1541255765.0	1734	775
1226	1541255772.0	1734	775
1226	1541255874.0	1031	775
1226	1541255875.0	1031	775
1235	1541235755.0	13505	780
1235	1541235765.0	13505	780
1235	1541235775.0	13505	780
1235	1541235785.0	13505	780
1235	1541235795.0	1675	780
1235	1541235797.0	13505	780
1235	1541235807.0	1675	780
1235	1541235817.0	1675	780
1235	1541235817.0	1674	780
1235	1541235827.0	1674	780
1235	1541235837.0	1674	780
1235	1541235847.0	53947	780
1235	1541235857.0	53947	780
1235	1541236046.0	96907	780
1235	1541236056.0	96907	780
1235	1541236066.0	96907	780
1235	1541236076.0	96907	780
1235	1541236106.0	1689	780
