SessionId	Time	ItemId	UserId
23	1541052670.0	25	16
23	1541052682.0	25	16
24	1541054951.0	25	16
24	1541055144.0	27	16
24	1541055230.0	28	16
24	1541055237.0	28	16
24	1541055289.0	25	16
24	1541055351.0	25	16
24	1541055355.0	25	16
24	1541055391.0	29	16
36	1541114867.0	3780	22
36	1541114924.0	3780	22
106	1541075765.0	169	73
106	1541075775.0	169	73
106	1541075785.0	169	73
106	1541075795.0	169	73
106	1541075805.0	169	73
106	1541075815.0	170	73
106	1541075823.0	171	73
106	1541075826.0	171	73
106	1541075826.0	170	73
106	1541075847.0	171	73
106	1541075859.0	171	73
106	1541075869.0	171	73
106	1541075880.0	171	73
106	1541075890.0	172	73
106	1541075900.0	172	73
106	1541075911.0	172	73
106	1541076005.0	169	73
106	1541076015.0	169	73
106	1541076025.0	170	73
106	1541076035.0	170	73
106	1541076045.0	170	73
106	1541076055.0	170	73
106	1541077828.0	170	73
106	1541077838.0	171	73
106	1541077848.0	171	73
106	1541077858.0	169	73
106	1541077863.0	170	73
106	1541077905.0	170	73
106	1541077915.0	170	73
106	1541077925.0	170	73
106	1541077935.0	170	73
106	1541077945.0	170	73
123	1541090955.0	353	82
123	1541090960.0	353	82
124	1541124236.0	201	82
124	1541124283.0	202	82
136	1541093254.0	216	90
136	1541093281.0	216	90
136	1541093286.0	216	90
136	1541093663.0	216	90
136	1541093692.0	216	90
136	1541093778.0	216	90
175	1541070395.0	268	118
175	1541070473.0	268	118
175	1541070483.0	268	118
175	1541070493.0	268	118
184	1541117752.0	273	120
184	1541118178.0	274	120
186	1541115404.0	278	121
186	1541115414.0	278	121
186	1541115424.0	278	121
195	1541072752.0	132096	127
195	1541072762.0	132096	127
195	1541072772.0	132096	127
195	1541072782.0	132096	127
195	1541072825.0	132096	127
196	1541078022.0	288	127
196	1541078032.0	288	127
196	1541078042.0	288	127
196	1541078068.0	288	127
196	1541078754.0	288	127
196	1541079207.0	132103	127
196	1541079217.0	132103	127
196	1541079227.0	132103	127
197	1541093876.0	288	127
197	1541093886.0	288	127
197	1541093896.0	288	127
197	1541093906.0	288	127
197	1541093916.0	288	127
197	1541093926.0	288	127
197	1541093942.0	288	127
197	1541094330.0	288	127
197	1541094340.0	288	127
197	1541094350.0	288	127
197	1541094360.0	288	127
197	1541094370.0	288	127
197	1541094380.0	288	127
197	1541094390.0	288	127
197	1541094400.0	288	127
197	1541094410.0	288	127
197	1541094427.0	288	127
197	1541094792.0	288	127
197	1541095731.0	172565	127
197	1541095896.0	172565	127
197	1541096416.0	172565	127
197	1541096426.0	172565	127
197	1541096436.0	172565	127
197	1541096598.0	38485	127
198	1541099301.0	132103	127
198	1541099311.0	132103	127
198	1541099321.0	132103	127
198	1541099331.0	132103	127
204	1541100935.0	292	130
204	1541100945.0	292	130
204	1541100955.0	292	130
204	1541100979.0	292	130
219	1541047632.0	313	135
219	1541047964.0	316	135
224	1541061185.0	320	138
224	1541061187.0	320	138
225	1541157521.0	33994	138
225	1541157523.0	33994	138
242	1541110921.0	341	149
242	1541111324.0	341	149
242	1541111334.0	341	149
242	1541111344.0	341	149
242	1541111354.0	341	149
242	1541111363.0	341	149
270	1541089137.0	9960	165
270	1541089147.0	9960	165
270	1541089157.0	9959	165
270	1541089157.0	9960	165
270	1541089169.0	21702	165
270	1541089169.0	21704	165
270	1541089179.0	21702	165
270	1541089190.0	21702	165
270	1541089199.0	21702	165
270	1541089243.0	9960	165
270	1541089252.0	9960	165
